City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
237,Bassar,TG,9.25,0.7833,99.79,27,98,5.28,overcast clouds
238,Huarmey,PE,-10.0681,-78.1522,71.42,79,75,7.11,broken clouds
239,Bethel,US,41.3712,-73.414,47.19,75,75,4.61,broken clouds
240,Nacala,MZ,-14.5428,40.6728,82.02,74,21,6.11,light rain
241,Ugoofaaru,MV,5.6667,73.0,83.7,67,4,2.13,clear sky
242,Balaipungut,ID,1.05,101.2833,75.54,96,100,3.89,overcast clouds
243,Villa Carlos Paz,AR,-31.4241,-64.4978,72.39,28,0,8.01,clear sky
244,Cayenne,GF,4.9333,-52.3333,81.09,1,100,13.8,overcast clouds
245,Canon City,US,38.441,-105.2424,55.62,48,75,11.01,broken clouds
246,Bowen,AU,-20.0167,148.2333,79.27,79,29,10.13,scattered clouds
247,Okhotsk,RU,59.3833,143.3,18.46,88,99,6.58,overcast clouds
248,Darayya,SY,33.459,36.2374,83.16,11,47,14.92,scattered clouds
249,Bandarbeyla,SO,9.4942,50.8122,82.09,65,3,8.66,clear sky
250,Sioux Lookout,CA,50.1001,-91.917,32.07,86,100,3.44,overcast clouds
251,Seydi,TM,39.4816,62.9137,78.53,16,0,4.16,clear sky
252,Forecariah,GN,9.4306,-13.0881,96.85,25,99,8.7,overcast clouds
253,Zalantun,CN,48.0,122.7167,49.5,30,9,6.64,clear sky
254,Coquimbo,CL,-29.9533,-71.3436,58.73,82,40,4.61,scattered clouds
255,Buala,SB,-8.145,159.5921,79.92,83,86,9.13,light rain
256,Joniskis,LT,56.2403,23.6153,41.92,38,99,10.67,overcast clouds
257,Beringovskiy,RU,63.05,179.3167,-7.87,94,90,12.86,overcast clouds
258,Esperance,AU,-33.8667,121.9,66.04,82,100,11.07,light rain
259,Odda,NO,60.0691,6.5457,40.78,94,100,8.7,overcast clouds
260,Dingle,PH,10.9995,122.6711,76.93,83,60,7.25,broken clouds
261,Ribeira Grande,PT,38.5167,-28.7,63.0,82,40,21.85,scattered clouds
262,Haines Junction,CA,60.7522,-137.5108,22.95,100,79,1.14,broken clouds
263,Masallatah,LY,32.6167,14.0,62.44,61,1,17.98,clear sky
264,Irbeyskoye,RU,55.6428,95.4522,27.97,78,100,2.13,overcast clouds
265,Kismayo,SO,-0.3582,42.5454,83.97,67,95,13.13,overcast clouds
266,Lavrentiya,RU,65.5833,-171.0,-11.7,94,31,9.6,scattered clouds
267,Manto,HN,14.9167,-86.3833,76.93,65,57,2.3,broken clouds
268,Puerto Narino,CO,-3.7703,-70.3831,75.58,83,99,2.28,overcast clouds
269,Smirnykh,RU,49.75,142.8333,32.9,82,46,3.76,scattered clouds
270,Key West,US,24.5557,-81.7826,84.2,74,0,9.22,clear sky
271,Farafangana,MG,-22.8167,47.8333,78.26,79,0,7.11,clear sky
